
**** Error Estimation Summary ****

DISP Displaced Species:
,Dichloromethane
,Chloroform
,Trichlorofluoromethane
,Dichlorodifluoromethane
,Carbon Tetrachloride
,1_1_2-Trichlorotrifluoroethane
,1_2-Dichloro-1_1_2_2-tetrafluoroethane
,Tetrachloroethene
,1_2-Dichlorobenzene
,1_4-Dichlorobenzene
,PCBTF
,N-Butane
,Isobutane
,N-Pentane
,Isopentane
,2-Methyl pentane
,Butene
,Propylene
,cis-2-Pentene
,Isoprene
,alpha-Pinene
,MVK
,Benzene
,Toluene
,Ethylbenzene
,Propylbenzene
,m_p-Xylene
,o-Xylene
,p-Isopropyl Toluene
,Naphthalene
,Methanol
,Ethanol
,Phenol
,Formaldehyde
,Acetaldehyde
,Isovaleraldehyde
,Hexaldehyde
,m_p-Tolualdehyde
,Phenylacetaldehyde
,Cyclohexanone
,Methyl acetate
,n-Butyl acetate
,Diethylphthalate
,D5-Siloxane

DISP Diagnostics:
,Error Code:,0
,Largest Decrease in Q:,-0.257
,%dQ:,-0.001733
,Swaps by Factor:,0,0,0,0,0,0,0,0,0,0,0,0,0

Concentrations for Factor 1,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Isopentane,0,,,,,,,,,-1.4144E-20,0.0029935,0.005987,
2-Methyl pentane,0.0026411,,,,,,,,,0,0.00498935,0.0099787,
Butene,0.00092921,,,,,,,,,0,0.0020195,0.004039,
Propylene,0,,,,,,,,,0,0.00198075,0.0039615,
cis-2-Pentene,0,,,,,,,,,0,1.573E-05,3.146E-05,
Isoprene,0.023008,,,,,,,,,0,0.0241255,0.048251,
alpha-Pinene,0.0043732,,,,,,,,,0,0.0042821,0.0085642,
MVK,0.0094923,,,,,,,,,0,0.010273,0.020546,
Benzene,0,,,,,,,,,0,0.00145945,0.0029189,
Toluene,0.0031555,,,,,,,,,0,0.00411655,0.0082331,
Ethylbenzene,0.00066697,,,,,,,,,0.0001562,0.00083365,0.0015111,
Propylbenzene,0.00011102,,,,,,,,,0,0.0001505,0.000301,
m_p-Xylene,0.00019215,,,,,,,,,-1.1453E-19,0.00073565,0.0014713,
o-Xylene,0.00045239,,,,,,,,,0,0.00070965,0.0014193,
p-Isopropyl Toluene,0,,,,,,,,,0,0.00013232,0.00026464,
Naphthalene,0.00068765,,,,,,,,,0.00023158,0.00073454,0.0012375,
Methanol,73.039,,,,,,,,,71.127,75.1855,79.244,
Ethanol,0.047183,,,,,,,,,0,0.07224,0.14448,
Phenol,0.0062786,,,,,,,,,-2.5157E-18,0.0082485,0.016497,
Formaldehyde,0.054829,,,,,,,,,0,0.081995,0.16399,
Acetaldehyde,0.010602,,,,,,,,,0,0.031491,0.062982,
Isovaleraldehyde,0.00029498,,,,,,,,,0,0.0007141,0.0014282,
Hexaldehyde,0,,,,,,,,,0,0.00078265,0.0015653,
m_p-Tolualdehyde,2.0531E-05,,,,,,,,,0,3.1142E-05,6.2284E-05,
Phenylacetaldehyde,0.0036266,,,,,,,,,0,0.0035624,0.0071248,
