
Factor Contributions (avg = 1) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,10/17/21,-1.265800E-001,2.916800E-001,4.922100E+000,-1.563700E-002,6.122600E-001,1.578600E-001,7.421200E-001,-2.000000E-001,-2.887300E-002,4.417400E+000
11,10/18/21,-2.942800E-002,3.368600E-001,3.388600E-003,8.065600E-003,3.526700E-001,1.933300E-002,-2.326800E-002,2.444300E-002,-1.845900E-002,-7.861500E-003
11,10/19/21,-1.342800E-001,5.533500E-001,5.622700E+000,-2.555800E-002,-1.746700E-001,2.181300E-001,1.128500E+000,7.935200E-002,-1.006600E-002,5.567000E+000
11,10/20/21,-1.682600E-001,2.071200E-001,6.468600E+000,-1.633000E-002,-2.430300E-002,1.075600E+000,1.452900E+000,7.304700E-001,-2.000000E-001,6.496700E+000
11,10/21/21,-1.579400E-001,4.502700E-001,4.927200E+000,2.038300E-001,5.412500E-001,6.602800E-001,1.058900E+000,5.021900E-001,-2.000000E-001,4.469400E+000
11,10/22/21,-1.707400E-001,-2.000000E-001,7.368100E+000,1.154000E+000,-2.000000E-001,1.005800E+000,2.358000E+000,8.097000E-001,-2.000000E-001,7.990200E+000
11,10/23/21,-3.606000E-002,3.858900E-001,-1.290700E-002,4.778900E-001,4.030600E-001,-3.893000E-003,-1.662400E-002,6.340000E-002,-9.455800E-002,-1.456700E-005
11,10/24/21,-1.594300E-001,4.679600E-001,7.874000E+000,-2.338100E-002,4.779200E-002,2.315300E-001,-2.000000E-001,3.099200E-001,8.120000E-002,3.902200E+000
11,10/25/21,-2.137800E-002,1.170100E-001,3.906400E-004,2.064100E-002,4.036700E-001,1.107700E-002,-1.142300E-002,9.152000E-003,-1.216000E-002,1.375600E-003
11,10/26/21,1.134100E+000,1.567000E+000,5.665500E+000,-7.254900E-002,1.304100E-001,1.587100E-001,4.131300E-001,1.319300E-001,-2.000000E-001,2.391100E+000
11,10/27/21,-2.000000E-001,3.460200E+000,-9.402400E-002,1.849100E-001,6.742200E-001,7.995000E-002,-2.000000E-001,-3.487300E-002,-2.000000E-001,3.111700E+000
11,10/28/21,-1.996300E-001,3.310100E+000,-1.241100E-001,-2.000000E-001,9.982700E-001,-2.000000E-001,7.055200E-001,-4.136000E-002,-2.000000E-001,2.457600E+000
11,10/29/21,1.727900E-001,2.987400E+000,-2.000000E-001,2.505000E-001,6.112800E-001,3.216800E-001,7.340700E-001,-1.324400E-001,-1.923700E-001,4.086300E+000
11,10/30/21,-2.621900E-002,-1.375300E-001,-7.297800E-003,2.737800E-002,8.364800E-001,1.641000E-002,-5.794900E-003,-3.170500E-002,-2.131000E-002,1.423100E-002
11,10/31/21,-1.934100E-001,4.754800E-001,6.042700E+000,-3.745800E-002,-2.000000E-001,1.254600E+000,2.591900E+000,1.905300E+000,-1.514200E-001,4.314800E+000
