**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 59

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ethylbenzene,  0.00564,  0.00036,  0.00439,  0.00582,  0.00597,  0.00769,  0.00520,  0.00146,  0.28006,  0.25841
Propylbenzene,  0.00136,  0.00017,  0.00100,  0.00137,  0.00142,  0.00178,  0.00123,  0.00030,  0.24117,  0.21731
m_p-Xylene,  0.00873,  0.00000,  0.00715,  0.00911,  0.00944,  0.01694,  0.00879,  0.00340,  0.38687,  0.38951
o-Xylene,  0.00477,  0.00000,  0.00393,  0.00505,  0.00545,  0.00808,  0.00465,  0.00167,  0.35967,  0.35091
p-Isopropyl Toluene,  0.00082,  0.00000,  0.00026,  0.00064,  0.00078,  0.00239,  0.00055,  0.00036,  0.66369,  0.44171
Naphthalene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00416,  0.00007,  0.00050,  7.17468,  0.00000
Methanol,  0.00000,  0.00000,  0.00000,  0.00000,  0.00870,  2.09350,  0.15423,  0.38955,  2.52576,  0.00000
Ethanol,  0.08226,  0.00000,  0.02420,  0.05702,  0.08764,  0.47656,  0.06126,  0.06039,  0.98574,  0.73405
Phenol,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.05632,  0.00141,  0.00816,  5.78629,  0.00000
Formaldehyde,  0.17535,  0.00000,  0.02869,  0.15542,  0.25985,  0.78865,  0.15222,  0.12355,  0.81165,  0.70459
Acetaldehyde,  0.06355,  0.00000,  0.00792,  0.06184,  0.07333,  0.41482,  0.06042,  0.06398,  1.05891,  1.00681
Isovaleraldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01869,  0.00040,  0.00241,  6.08407,  0.00000
Hexaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.05178,  0.00105,  0.00673,  6.39075,  0.00000
m_p-Tolualdehyde,  0.00007,  0.00000,  0.00000,  0.00004,  0.00009,  0.00039,  0.00006,  0.00006,  1.05514,  0.87237
Phenylacetaldehyde,  0.00199,  0.00000,  0.00000,  0.00389,  0.00476,  0.02718,  0.00429,  0.00524,  1.22141,  2.63371
Cyclohexanone,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00053,  0.00001,  0.00006,  5.86649,  0.00000
Methyl acetate,  0.01420,  0.00000,  0.00328,  0.01255,  0.01422,  0.04121,  0.00970,  0.00719,  0.74158,  0.50644
n-Butyl acetate,  0.02014,  0.00000,  0.01310,  0.01977,  0.02055,  0.02340,  0.01631,  0.00556,  0.34058,  0.27579
D5-Siloxane,  0.01669,  0.00000,  0.01053,  0.01635,  0.01674,  0.04130,  0.01456,  0.00534,  0.36644,  0.31984

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.02481,  0.01179,  0.02315,  0.02472,  0.02480,  0.02768,  0.02333,  0.00287,  0.12321,  0.11584
Chloroform,  0.00435,  0.00216,  0.00395,  0.00428,  0.00441,  0.00445,  0.00398,  0.00059,  0.14865,  0.13608
Trichlorofluoromethane,  0.07078,  0.01272,  0.06613,  0.07070,  0.07226,  0.08343,  0.06704,  0.00992,  0.14798,  0.14016
Dichlorodifluoromethane,  0.17095,  0.06236,  0.16322,  0.17013,  0.17095,  0.18036,  0.16392,  0.02000,  0.12201,  0.11700
Carbon Tetrachloride,  0.02245,  0.00835,  0.02085,  0.02243,  0.02268,  0.02689,  0.02129,  0.00300,  0.14096,  0.13371
1_1_2-Trichlorotrifluoroethane,  0.02659,  0.01236,  0.02483,  0.02657,  0.02690,  0.03018,  0.02525,  0.00327,  0.12943,  0.12292
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00675,  0.00306,  0.00631,  0.00673,  0.00675,  0.00733,  0.00639,  0.00077,  0.12098,  0.11463
Tetrachloroethene,  0.00025,  0.00007,  0.00023,  0.00025,  0.00025,  0.00037,  0.00024,  0.00005,  0.21261,  0.20182
1_2-Dichlorobenzene,  0.00007,  0.00000,  0.00007,  0.00008,  0.00023,  0.00358,  0.00024,  0.00060,  2.46390,  8.09258
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00016,  0.00029,  0.00007,  0.00009,  1.25461,  0.00000
PCBTF,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00019,  0.00001,  0.00004,  3.06820,  0.00000
N-Butane,  0.04481,  0.01758,  0.04441,  0.04481,  0.05252,  0.09178,  0.04560,  0.01063,  0.23310,  0.23723
Isobutane,  0.00149,  0.00000,  0.00138,  0.00149,  0.01514,  0.09255,  0.00735,  0.01179,  1.60558,  7.92873
N-Pentane,  0.00529,  0.00000,  0.00437,  0.00530,  0.00536,  0.01054,  0.00485,  0.00130,  0.26757,  0.24554
Isopentane,  0.00000,  0.00000,  0.00000,  0.00078,  0.00122,  0.00937,  0.00113,  0.00185,  1.63588,  0.00000
2-Methyl pentane,  0.00498,  0.00000,  0.00210,  0.00535,  0.00608,  0.01545,  0.00517,  0.00374,  0.72250,  0.74937
