Mapping of bootstrap factors to base factors

,Composting (MeOH),Gasoline vapor-summer blend,Biogenic,Gasoline vapor-winter blend,Secondary VOC,University + K12 institutes,Mixing solvents,VCP (siloxane),VCP (Ethanol),Unmapped
Boot Factor 1,49,0,0,0,0,1,0,0,0,0
Boot Factor 2,0,40,3,0,0,0,5,2,0,0
Boot Factor 3,0,0,40,0,1,2,7,0,0,0
Boot Factor 4,0,0,2,36,2,3,3,2,1,1
Boot Factor 5,0,0,0,0,46,2,1,0,0,1
Boot Factor 6,0,1,0,0,1,47,1,0,0,0
Boot Factor 7,0,0,0,0,0,0,49,0,0,1
Boot Factor 8,0,4,2,0,2,4,6,30,0,2
Boot Factor 9,0,0,0,0,0,0,0,0,50,0


Bootstrapping and Pulling Results.  Includes adjustment for measurement errors.
There is a block of rows for each species.
Columns are:  Original Factor, m Smallest Bootstraps, m Largest Bootstraps, Each Bootstrap

0.497277E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.723121E-03,0.158444E-01,0.173444E-01,0.175084E-01,0.175657E-01,0.221988E-01,0.290294E-01,0.497277E-02,0.221988E-01,0.173444E-01,0.111534E-01,0.111421E-01,0.000000E+00,0.407962E-02,0.140383E-01,0.000000E+00,0.000000E+00,0.104149E-01,0.422431E-02,0.614035E-02,0.130437E-01,0.727314E-02,0.235253E-02,0.411050E-02,0.461390E-02,0.000000E+00,0.105027E-01,0.146745E-01,0.767788E-02,0.409084E-02,0.790970E-02,0.723121E-03,0.290294E-01,0.527888E-02,0.122640E-01,0.656201E-02,0.175657E-01,0.104306E-01,0.953828E-02,0.776238E-02,0.106354E-01,0.383581E-02,0.907815E-02,0.147099E-01,0.104794E-01,0.000000E+00,0.125043E-01,0.818534E-02,0.158444E-01,0.130898E-01,0.175084E-01,0.137307E-01,0.723505E-02,0.910210E-02,0.581557E-02,0.116152E-01,0.450697E-02,0.116825E-01,
0.319241E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.418158E-01,0.446400E-01,0.470869E-01,0.518383E-01,0.760568E-01,0.108354E+00,0.319241E-02,0.446400E-01,0.108354E+00,0.913619E-02,0.217286E-01,0.291385E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.126056E-01,0.103054E-01,0.939657E-02,0.470869E-01,0.000000E+00,0.280742E-03,0.303355E-02,0.000000E+00,0.000000E+00,0.163440E-01,0.000000E+00,0.418158E-01,0.129318E-01,0.500924E-02,0.000000E+00,0.127417E-01,0.148722E-01,0.000000E+00,0.198686E-02,0.000000E+00,0.000000E+00,0.119744E-01,0.527388E-02,0.000000E+00,0.173338E-01,0.518383E-01,0.000000E+00,0.000000E+00,0.250032E-01,0.534740E-02,0.000000E+00,0.760568E-01,0.124496E-01,0.000000E+00,0.134452E-01,0.150131E-01,0.125808E-01,0.111979E-01,0.359893E-02,0.263114E-01,0.208670E-02,0.000000E+00,
0.397226E-01,0.000000E+00,0.000000E+00,0.651188E-02,0.101448E-01,0.120989E-01,0.126862E-01,0.115286E+00,0.115755E+00,0.126614E+00,0.130383E+00,0.132994E+00,0.133876E+00,0.397226E-01,0.310536E-01,0.101448E-01,0.453580E-01,0.533049E-01,0.000000E+00,0.340577E-01,0.241612E-01,0.120989E-01,0.536993E-01,0.409084E-01,0.596708E-01,0.772289E-01,0.651188E-02,0.727291E-01,0.000000E+00,0.721014E-01,0.574325E-01,0.693746E-01,0.115755E+00,0.351068E-01,0.770712E-01,0.434082E-01,0.609941E-01,0.763744E-01,0.704281E-01,0.665466E-01,0.567127E-01,0.251197E-01,0.115286E+00,0.170146E-01,0.314375E-01,0.126614E+00,0.132994E+00,0.522116E-01,0.580649E-01,0.130383E+00,0.616042E-01,0.618298E-01,0.602711E-01,0.104663E+00,0.133876E+00,0.126862E-01,0.746338E-01,0.385266E-01,0.743943E-01,0.598925E-01,0.666108E-01,0.679317E-01,0.819752E-01,0.397708E-01,
0.679291E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.348534E-01,0.355433E-01,0.595686E-01,0.598470E-01,0.735210E-01,0.978266E-01,0.679291E-02,0.216903E-01,0.598470E-01,0.735210E-01,0.000000E+00,0.000000E+00,0.245831E-01,0.000000E+00,0.228261E-01,0.200561E-01,0.829783E-02,0.269719E-01,0.470457E-02,0.193908E-01,0.000000E+00,0.978266E-01,0.000000E+00,0.000000E+00,0.143788E-01,0.000000E+00,0.283381E-01,0.315635E-01,0.306274E-02,0.958694E-02,0.000000E+00,0.401388E-02,0.199764E-01,0.188817E-01,0.348534E-01,0.603684E-02,0.827765E-02,0.000000E+00,0.607406E-02,0.595686E-01,0.000000E+00,0.836627E-02,0.186084E-01,0.134376E-01,0.731675E-02,0.233899E-01,0.000000E+00,0.248851E-02,0.000000E+00,0.165640E-01,0.355433E-01,0.000000E+00,0.309586E-01,0.000000E+00,0.325525E-02,0.249860E-01,0.000000E+00,
0.708376E-01,0.000000E+00,0.000000E+00,0.166584E-01,0.203849E-01,0.271407E-01,0.276731E-01,0.744446E-01,0.745139E-01,0.790260E-01,0.845538E-01,0.970698E-01,0.127429E+00,0.708376E-01,0.533912E-01,0.485373E-01,0.683247E-01,0.462826E-01,0.439868E-01,0.538043E-01,0.657253E-01,0.720280E-01,0.345118E-01,0.127429E+00,0.509361E-01,0.166584E-01,0.396996E-01,0.307698E-01,0.413736E-01,0.450113E-01,0.790260E-01,0.496262E-01,0.524762E-01,0.385925E-01,0.203849E-01,0.552619E-01,0.970698E-01,0.000000E+00,0.547753E-01,0.299529E-01,0.845538E-01,0.604330E-01,0.508155E-01,0.684460E-01,0.677908E-01,0.402202E-01,0.291210E-01,0.745139E-01,0.379415E-01,0.567797E-01,0.000000E+00,0.558136E-01,0.421015E-01,0.271407E-01,0.538024E-01,0.744446E-01,0.598993E-01,0.663096E-01,0.643503E-01,0.276731E-01,0.742860E-01,0.533847E-01,0.550221E-01,0.493772E-01,
0.312358E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.234444E-01,0.272224E-01,0.556285E-01,0.556356E-01,0.783424E-01,0.103513E+00,0.312358E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.103513E+00,0.141218E-01,0.000000E+00,0.210435E-01,0.000000E+00,0.000000E+00,0.180012E-01,0.000000E+00,0.216189E-01,0.120117E-02,0.783424E-01,0.296821E-02,0.556356E-01,0.883575E-02,0.000000E+00,0.160877E-01,0.000000E+00,0.234444E-01,0.168039E-01,0.177427E-01,0.272224E-01,0.114749E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.316877E-02,0.000000E+00,0.403171E-02,0.146128E-01,0.904509E-02,0.203421E-01,0.197181E-01,0.000000E+00,0.154170E-01,0.117219E-01,0.000000E+00,0.189245E-01,0.703960E-02,0.125879E-01,0.106218E-01,0.556285E-01,0.714276E-02,0.363313E-02,0.000000E+00,0.205921E-01,0.178813E-02,0.136811E-01,
0.121484E+00,0.000000E+00,0.000000E+00,0.148709E-02,0.362538E-02,0.293101E-01,0.390494E-01,0.116680E+00,0.119864E+00,0.121484E+00,0.121761E+00,0.129107E+00,0.138815E+00,0.121484E+00,0.647774E-01,0.148709E-02,0.293101E-01,0.781407E-01,0.616283E-01,0.933173E-01,0.895595E-01,0.846143E-01,0.121761E+00,0.536544E-01,0.423878E-01,0.588342E-01,0.138815E+00,0.604205E-01,0.767475E-01,0.835207E-01,0.891368E-01,0.672945E-01,0.464252E-01,0.112623E+00,0.841941E-01,0.525272E-01,0.647900E-01,0.119864E+00,0.428399E-01,0.906773E-01,0.604699E-01,0.116680E+00,0.604993E-01,0.113940E+00,0.129107E+00,0.000000E+00,0.362538E-02,0.527930E-01,0.969664E-01,0.477389E-01,0.913790E-01,0.830311E-01,0.740573E-01,0.000000E+00,0.425974E-01,0.446496E-01,0.390494E-01,0.561589E-01,0.572820E-01,0.891861E-01,0.991079E-01,0.694900E-01,0.605372E-01,0.100724E+00,
0.608566E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.501366E-01,0.620964E-01,0.723972E-01,0.744166E-01,0.804605E-01,0.114385E+00,0.608566E-02,0.625021E-02,0.000000E+00,0.529739E-02,0.000000E+00,0.114385E+00,0.397624E-01,0.452126E-01,0.723972E-01,0.310049E-01,0.177127E-01,0.238243E-01,0.000000E+00,0.804605E-01,0.399538E-01,0.449361E-02,0.773657E-02,0.209986E-01,0.310011E-01,0.258979E-01,0.116484E-01,0.000000E+00,0.620964E-01,0.153173E-01,0.145649E-01,0.162428E-01,0.501366E-01,0.000000E+00,0.698645E-03,0.202309E-01,0.665676E-02,0.000000E+00,0.467288E-01,0.000000E+00,0.441713E-02,0.148789E-01,0.902653E-02,0.160213E-01,0.298670E-01,0.374047E-01,0.164539E-02,0.000000E+00,0.744166E-01,0.156805E-02,0.000000E+00,0.345229E-01,0.123037E-01,0.474516E-02,0.000000E+00,0.791958E-02,0.232136E-01,
0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.200868E-01,0.213406E-01,0.218693E-01,0.234676E-01,0.273151E-01,0.290822E-01,0.000000E+00,0.128897E-01,0.175630E-03,0.234676E-01,0.649516E-02,0.748990E-02,0.954601E-02,0.000000E+00,0.809252E-02,0.999397E-02,0.104002E-01,0.213406E-01,0.860941E-02,0.000000E+00,0.481856E-02,0.198232E-01,0.000000E+00,0.117881E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.295305E-02,0.218693E-01,0.493982E-02,0.461865E-03,0.197351E-01,0.227828E-02,0.155005E-01,0.124061E-01,0.814265E-02,0.290822E-01,0.446696E-02,0.117132E-01,0.708236E-02,0.147395E-01,0.932494E-02,0.000000E+00,0.108708E-01,0.152331E-02,0.000000E+00,0.161153E-01,0.200868E-01,0.670117E-02,0.150073E-01,0.142525E-01,0.843780E-03,0.340166E-02,0.000000E+00,0.319020E-02,0.273151E-01,0.177279E-01,

0.875617E-02,0.000000E+00,0.308694E-02,0.375603E-02,0.529643E-02,0.677914E-02,0.875617E-02,0.346144E-01,0.357464E-01,0.359617E-01,0.399064E-01,0.406974E-01,0.642918E-01,0.875617E-02,0.000000E+00,0.224958E-01,0.259526E-01,0.200963E-01,0.112358E-01,0.529643E-02,0.169161E-01,0.230400E-01,0.346144E-01,0.131769E-01,0.190112E-01,0.357464E-01,0.152890E-01,0.308694E-02,0.164076E-01,0.359617E-01,0.151654E-01,0.182048E-01,0.162621E-01,0.185738E-01,0.140877E-01,0.138108E-01,0.110425E-01,0.189448E-01,0.642918E-01,0.406974E-01,0.149286E-01,0.960485E-02,0.677914E-02,0.324079E-01,0.125688E-01,0.148156E-01,0.197426E-01,0.375603E-02,0.146559E-01,0.126178E-01,0.143761E-01,0.285568E-01,0.209328E-01,0.135243E-01,0.255966E-01,0.399064E-01,0.331481E-01,0.198619E-01,0.149415E-01,0.129191E-01,0.125943E-01,0.129322E-01,0.184538E-01,0.267614E-01,
0.131542E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.884920E-01,0.949380E-01,0.107628E+00,0.109424E+00,0.124980E+00,0.129813E+00,0.131542E-01,0.517186E-01,0.109424E+00,0.197876E-02,0.107628E+00,0.847084E-01,0.667443E-01,0.344586E-01,0.841548E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.259142E-01,0.655537E-01,0.294160E-01,0.605758E-01,0.000000E+00,0.178309E-01,0.000000E+00,0.328832E-01,0.124980E+00,0.000000E+00,0.505462E-01,0.574965E-01,0.164798E-01,0.000000E+00,0.000000E+00,0.382005E-01,0.000000E+00,0.554720E-01,0.000000E+00,0.439786E-01,0.511690E-01,0.298414E-01,0.129813E+00,0.576451E-01,0.884920E-01,0.000000E+00,0.491544E-01,0.291549E-01,0.000000E+00,0.119034E-01,0.333389E-01,0.145268E-02,0.000000E+00,0.382425E-01,0.254670E-01,0.272345E-01,0.949380E-01,0.445330E-02,0.453826E-01,
0.416799E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.367639E-02,0.678521E-02,0.133351E-01,0.111521E+00,0.122721E+00,0.124960E+00,0.135029E+00,0.145772E+00,0.167490E+00,0.416799E-01,0.579236E-01,0.286840E-01,0.508818E-01,0.357153E-01,0.000000E+00,0.531329E-01,0.564294E-01,0.248385E-01,0.627848E-01,0.678521E-02,0.717804E-01,0.647662E-01,0.494445E-01,0.526172E-01,0.133351E-01,0.922243E-01,0.738985E-01,0.538005E-01,0.881406E-01,0.333123E-01,0.974477E-01,0.393817E-01,0.367639E-02,0.167490E+00,0.551208E-01,0.111521E+00,0.366854E-01,0.000000E+00,0.145772E+00,0.000000E+00,0.691013E-01,0.124960E+00,0.122721E+00,0.293145E-01,0.673367E-01,0.991078E-01,0.955646E-01,0.645526E-01,0.641969E-01,0.104571E+00,0.135029E+00,0.266920E-01,0.829234E-01,0.400092E-01,0.888988E-01,0.697599E-01,0.713656E-01,0.328096E-01,0.648132E-01,0.624386E-01,
0.217795E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.594028E-01,0.595201E-01,0.696569E-01,0.730921E-01,0.805668E-01,0.101654E+00,0.217795E-01,0.364681E-01,0.000000E+00,0.594028E-01,0.000000E+00,0.448360E-01,0.260010E-01,0.399377E-02,0.258116E-01,0.733027E-02,0.527634E-01,0.337063E-01,0.572074E-01,0.000000E+00,0.631602E-02,0.101654E+00,0.508327E-01,0.730921E-01,0.192129E-01,0.215994E-01,0.000000E+00,0.000000E+00,0.273072E-01,0.261774E-01,0.221506E-01,0.724807E-02,0.288113E-02,0.440977E-01,0.394030E-01,0.000000E+00,0.468419E-01,0.141609E-01,0.237522E-01,0.000000E+00,0.595201E-01,0.160035E-01,0.234960E-01,0.000000E+00,0.128617E-01,0.115549E-01,0.805668E-01,0.767670E-02,0.696569E-01,0.341119E-01,0.221024E-01,0.335909E-01,0.000000E+00,0.230478E-01,0.000000E+00,0.465098E-01,0.000000E+00,
0.171083E+00,0.190005E-01,0.764680E-01,0.777139E-01,0.827872E-01,0.867176E-01,0.870533E-01,0.173135E+00,0.173339E+00,0.177769E+00,0.188015E+00,0.196411E+00,0.196828E+00,0.171083E+00,0.119881E+00,0.110965E+00,0.173339E+00,0.112203E+00,0.114906E+00,0.138310E+00,0.145496E+00,0.167815E+00,0.114076E+00,0.188015E+00,0.867176E-01,0.111411E+00,0.106213E+00,0.827872E-01,0.126413E+00,0.109765E+00,0.173135E+00,0.142083E+00,0.134160E+00,0.118705E+00,0.117263E+00,0.123417E+00,0.196411E+00,0.190005E-01,0.140721E+00,0.870533E-01,0.168578E+00,0.149687E+00,0.196828E+00,0.163585E+00,0.158599E+00,0.156205E+00,0.978014E-01,0.142809E+00,0.137269E+00,0.136172E+00,0.764680E-01,0.123696E+00,0.120714E+00,0.941546E-01,0.177769E+00,0.147900E+00,0.138042E+00,0.118619E+00,0.138262E+00,0.777139E-01,0.164121E+00,0.141371E+00,0.164950E+00,0.129409E+00,
0.896582E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.976710E-03,0.607029E-01,0.668236E-01,0.723369E-01,0.780694E-01,0.172134E+00,0.223275E+00,0.896582E-02,0.514517E-01,0.223706E-01,0.129350E-01,0.344275E-01,0.174293E-01,0.492426E-01,0.361804E-01,0.344359E-01,0.342418E-01,0.449502E-01,0.549709E-01,0.235983E-01,0.607029E-01,0.223275E+00,0.936262E-02,0.251185E-01,0.000000E+00,0.395527E-01,0.313029E-01,0.387931E-01,0.668236E-01,0.323497E-01,0.551498E-01,0.723369E-01,0.266127E-01,0.504854E-01,0.480848E-01,0.490723E-01,0.154204E-01,0.348301E-01,0.000000E+00,0.251578E-02,0.246249E-01,0.272091E-01,0.374874E-01,0.240116E-01,0.780694E-01,0.452518E-01,0.533711E-01,0.000000E+00,0.116848E-01,0.506971E-01,0.132136E-01,0.172134E+00,0.000000E+00,0.976710E-03,0.437516E-02,0.287831E-01,0.254044E-01,0.000000E+00,
0.781296E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.107795E-02,0.260287E-02,0.857261E-01,0.875048E-01,0.893131E-01,0.922224E-01,0.150982E+00,0.192350E+00,0.781296E-01,0.355621E-01,0.174106E-01,0.228811E-01,0.763565E-01,0.000000E+00,0.499508E-01,0.503178E-01,0.401901E-01,0.192350E+00,0.342774E-01,0.115150E-01,0.926791E-02,0.875048E-01,0.321904E-01,0.134111E-01,0.000000E+00,0.894265E-02,0.107795E-02,0.198027E-01,0.269363E-01,0.854365E-01,0.137885E-01,0.152295E-01,0.168985E-01,0.835829E-01,0.733027E-01,0.155827E-01,0.893131E-01,0.000000E+00,0.150982E+00,0.660398E-01,0.297602E-01,0.336998E-01,0.000000E+00,0.382212E-01,0.572179E-02,0.516765E-01,0.681937E-01,0.857261E-01,0.650876E-01,0.331206E-01,0.346996E-01,0.260287E-02,0.593335E-01,0.237073E-01,0.922224E-01,0.415583E-01,0.516849E-01,0.433286E-01,0.587250E-01,
0.554369E-01,0.000000E+00,0.000000E+00,0.266624E-03,0.409929E-02,0.712739E-02,0.991155E-02,0.896498E-01,0.911468E-01,0.106320E+00,0.107226E+00,0.111535E+00,0.137935E+00,0.554369E-01,0.475286E-01,0.896273E-01,0.310985E-01,0.266624E-03,0.137935E+00,0.000000E+00,0.435313E-01,0.000000E+00,0.505752E-01,0.719880E-01,0.872343E-01,0.510550E-01,0.911468E-01,0.111535E+00,0.522823E-01,0.792995E-01,0.536156E-01,0.106320E+00,0.608830E-01,0.432750E-01,0.277677E-01,0.896498E-01,0.706853E-01,0.723724E-01,0.363620E-01,0.876361E-01,0.621146E-01,0.622690E-01,0.246548E-01,0.213269E-01,0.475595E-01,0.991155E-02,0.107226E+00,0.296315E-01,0.126051E-01,0.329397E-01,0.871006E-01,0.712739E-02,0.211049E-01,0.454984E-01,0.262523E-01,0.409929E-02,0.283949E-01,0.588802E-01,0.486535E-01,0.778635E-01,0.683258E-01,0.592077E-01,0.480226E-01,0.292467E-01,
0.232625E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.184220E-01,0.209624E-01,0.223642E-01,0.236924E-01,0.394311E-01,0.436388E-01,0.232625E-02,0.308811E-02,0.000000E+00,0.209624E-01,0.771143E-02,0.000000E+00,0.194272E-02,0.000000E+00,0.527003E-02,0.000000E+00,0.507961E-03,0.889014E-02,0.223642E-01,0.209360E-02,0.395994E-02,0.319266E-02,0.552290E-02,0.457158E-03,0.236924E-01,0.128633E-02,0.394311E-01,0.543838E-03,0.000000E+00,0.000000E+00,0.174689E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.602497E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.260712E-02,0.391999E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.131499E-01,0.146459E-01,0.410249E-02,0.658707E-02,0.436388E-01,0.000000E+00,0.000000E+00,0.220552E-02,0.515496E-03,0.000000E+00,0.000000E+00,0.184220E-01,

0.908415E-03,0.000000E+00,0.980106E-04,0.129004E-03,0.262189E-03,0.322613E-03,0.456380E-03,0.406558E-02,0.418631E-02,0.428890E-02,0.512947E-02,0.523820E-02,0.709710E-02,0.908415E-03,0.000000E+00,0.523820E-02,0.229172E-02,0.237091E-02,0.322613E-03,0.689336E-03,0.297585E-02,0.129004E-03,0.107840E-02,0.312194E-02,0.941486E-03,0.950793E-03,0.290177E-02,0.103806E-02,0.191125E-02,0.130439E-02,0.161111E-02,0.980106E-04,0.220171E-02,0.406558E-02,0.878458E-03,0.456380E-03,0.148523E-02,0.987055E-03,0.709710E-02,0.243765E-02,0.210052E-02,0.168245E-02,0.428890E-02,0.230890E-02,0.189249E-02,0.220152E-02,0.286811E-02,0.262189E-03,0.186819E-02,0.261941E-02,0.294799E-02,0.125293E-02,0.308760E-02,0.200780E-02,0.145499E-02,0.512947E-02,0.418631E-02,0.297796E-02,0.182011E-02,0.912201E-03,0.162274E-02,0.248867E-02,0.695067E-03,0.281656E-02,
0.166815E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.976358E-03,0.165155E-02,0.121961E-01,0.148826E-01,0.168835E-01,0.175160E-01,0.175829E-01,0.329863E-01,0.166815E-02,0.934499E-02,0.329863E-01,0.896714E-02,0.104223E-01,0.963797E-02,0.396277E-02,0.000000E+00,0.458045E-02,0.895678E-02,0.671027E-02,0.000000E+00,0.148826E-01,0.587421E-02,0.416554E-02,0.532132E-02,0.976358E-03,0.473993E-02,0.108200E-01,0.000000E+00,0.175829E-01,0.938355E-02,0.173299E-02,0.278807E-02,0.225971E-02,0.105494E-01,0.205728E-02,0.611959E-02,0.295981E-02,0.183419E-02,0.101871E-01,0.445139E-02,0.352709E-02,0.539777E-02,0.175160E-01,0.000000E+00,0.370469E-02,0.298965E-02,0.301081E-02,0.196526E-02,0.168835E-01,0.895944E-02,0.165155E-02,0.856617E-02,0.941148E-02,0.913348E-02,0.888745E-02,0.591680E-02,0.121961E-01,0.280738E-02,0.199917E-02,
0.957571E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.477631E-03,0.786206E-03,0.203792E-02,0.290830E-01,0.293804E-01,0.304614E-01,0.328375E-01,0.357913E-01,0.372565E-01,0.957571E-02,0.902655E-02,0.203792E-02,0.114925E-01,0.140479E-01,0.000000E+00,0.988488E-02,0.828510E-02,0.545963E-02,0.156651E-01,0.893634E-02,0.154761E-01,0.200501E-01,0.696605E-02,0.174678E-01,0.000000E+00,0.194466E-01,0.169567E-01,0.154851E-01,0.290830E-01,0.451674E-02,0.181050E-01,0.109809E-01,0.125554E-01,0.269317E-01,0.165842E-01,0.182396E-01,0.129698E-01,0.000000E+00,0.328375E-01,0.477631E-03,0.115895E-01,0.357913E-01,0.372565E-01,0.127019E-01,0.160086E-01,0.304614E-01,0.165394E-01,0.178508E-01,0.163898E-01,0.293804E-01,0.289761E-01,0.786206E-03,0.189488E-01,0.962998E-02,0.201476E-01,0.163650E-01,0.192335E-01,0.149454E-01,0.233006E-01,0.120808E-01,
0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.753790E-02,0.756385E-02,0.105413E-01,0.128402E-01,0.204658E-01,0.278967E-01,0.000000E+00,0.567647E-02,0.541493E-02,0.204658E-01,0.000000E+00,0.000000E+00,0.296633E-02,0.000000E+00,0.630408E-03,0.000000E+00,0.641423E-02,0.362055E-02,0.100687E-02,0.160570E-02,0.000000E+00,0.278967E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.967015E-03,0.321527E-02,0.000000E+00,0.000000E+00,0.466870E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.540484E-02,0.174758E-02,0.000000E+00,0.757309E-03,0.223106E-02,0.128402E-01,0.336433E-02,0.455666E-02,0.459088E-02,0.000000E+00,0.525690E-03,0.221384E-02,0.548952E-02,0.105413E-01,0.369402E-02,0.406191E-02,0.753790E-02,0.000000E+00,0.252327E-02,0.000000E+00,0.246562E-02,0.756385E-02,0.110440E-03,
0.224623E-01,0.787006E-03,0.541130E-02,0.685894E-02,0.913693E-02,0.973273E-02,0.982283E-02,0.226476E-01,0.245564E-01,0.250882E-01,0.277802E-01,0.313738E-01,0.368858E-01,0.224623E-01,0.154419E-01,0.124998E-01,0.212228E-01,0.135193E-01,0.130925E-01,0.185190E-01,0.201356E-01,0.199718E-01,0.133442E-01,0.368858E-01,0.115319E-01,0.982283E-02,0.105558E-01,0.104589E-01,0.114068E-01,0.109005E-01,0.226476E-01,0.164462E-01,0.176714E-01,0.134656E-01,0.133643E-01,0.169530E-01,0.313738E-01,0.787006E-03,0.193764E-01,0.973273E-02,0.277802E-01,0.202011E-01,0.181664E-01,0.221120E-01,0.206323E-01,0.158088E-01,0.105148E-01,0.245564E-01,0.126389E-01,0.173032E-01,0.541130E-02,0.147800E-01,0.140015E-01,0.913693E-02,0.183649E-01,0.250882E-01,0.193446E-01,0.225894E-01,0.190908E-01,0.685894E-02,0.205672E-01,0.173345E-01,0.186516E-01,0.154147E-01,
0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.720934E-02,0.748246E-02,0.163443E-01,0.187238E-01,0.207341E-01,0.251098E-01,0.000000E+00,0.262548E-02,0.134347E-02,0.000000E+00,0.251098E-01,0.201293E-02,0.409522E-02,0.339646E-02,0.296553E-02,0.140048E-02,0.278446E-02,0.382707E-02,0.328341E-02,0.449249E-02,0.207341E-01,0.000000E+00,0.187238E-01,0.349374E-03,0.240177E-02,0.222363E-02,0.196308E-02,0.506037E-02,0.388887E-02,0.322467E-02,0.748246E-02,0.198999E-02,0.329013E-02,0.720934E-02,0.372516E-02,0.000000E+00,0.362895E-02,0.000000E+00,0.000000E+00,0.226467E-03,0.237759E-02,0.304213E-02,0.141113E-03,0.647592E-02,0.450203E-02,0.359771E-02,0.144743E-02,0.000000E+00,0.207661E-02,0.000000E+00,0.163443E-01,0.313072E-03,0.000000E+00,0.511846E-03,0.280342E-02,0.000000E+00,0.186260E-02,
0.311083E-01,0.172380E-02,0.178722E-02,0.306711E-02,0.327931E-02,0.475609E-02,0.577949E-02,0.286359E-01,0.298341E-01,0.311083E-01,0.332428E-01,0.340525E-01,0.351804E-01,0.311083E-01,0.153298E-01,0.475609E-02,0.172380E-02,0.189699E-01,0.160632E-01,0.242181E-01,0.213178E-01,0.224095E-01,0.173962E-01,0.131743E-01,0.157259E-01,0.105920E-01,0.351804E-01,0.123125E-01,0.188070E-01,0.139720E-01,0.236048E-01,0.139093E-01,0.113550E-01,0.285217E-01,0.163361E-01,0.122744E-01,0.144464E-01,0.285451E-01,0.116556E-01,0.286359E-01,0.154687E-01,0.332428E-01,0.126293E-01,0.340525E-01,0.298341E-01,0.178722E-02,0.306711E-02,0.133107E-01,0.191684E-01,0.942145E-02,0.266983E-01,0.203057E-01,0.244251E-01,0.327931E-02,0.738622E-02,0.128891E-01,0.577949E-02,0.150500E-01,0.137198E-01,0.242503E-01,0.217688E-01,0.155137E-01,0.134834E-01,0.229400E-01,
0.539556E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.285442E-03,0.357261E-03,0.126226E-01,0.129475E-01,0.140764E-01,0.154328E-01,0.225215E-01,0.332209E-01,0.539556E-02,0.637802E-02,0.407343E-02,0.220773E-02,0.285442E-03,0.332209E-01,0.000000E+00,0.126226E-01,0.118434E-01,0.113167E-01,0.261988E-02,0.103952E-01,0.000000E+00,0.117168E-01,0.140764E-01,0.434833E-02,0.959335E-02,0.278132E-02,0.129475E-01,0.938254E-02,0.396880E-02,0.414391E-02,0.225215E-01,0.711915E-02,0.816129E-02,0.390238E-02,0.996992E-02,0.193614E-02,0.377233E-02,0.105369E-01,0.114901E-02,0.000000E+00,0.110090E-01,0.523588E-02,0.531785E-03,0.104775E-01,0.671798E-02,0.937659E-02,0.674713E-02,0.420198E-02,0.159682E-02,0.000000E+00,0.154328E-01,0.357983E-02,0.363375E-02,0.813149E-02,0.635537E-02,0.372920E-02,0.357261E-03,0.410876E-02,0.638252E-02,
