**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Carbon Tetrachloride,  0.02635,  0.00751,  0.01333,  0.01695,  0.02627,  0.02640,  0.01891,  0.00691,  0.36532,  0.26214
1_1_2-Trichlorotrifluoroethane,  0.02979,  0.00475,  0.01431,  0.01848,  0.02955,  0.02979,  0.02065,  0.00869,  0.42094,  0.29184
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00381,  0.00062,  0.00119,  0.00250,  0.00378,  0.00381,  0.00237,  0.00116,  0.49019,  0.30532
Tetrachloroethene,  0.00232,  0.00153,  0.00161,  0.00199,  0.00231,  0.00277,  0.00197,  0.00036,  0.18299,  0.15574
1_2-Dichlorobenzene,  0.00039,  0.00000,  0.00033,  0.00039,  0.00065,  0.00101,  0.00045,  0.00027,  0.60472,  0.70284
1_4-Dichlorobenzene,  0.00004,  0.00000,  0.00000,  0.00004,  0.00026,  0.00079,  0.00018,  0.00025,  1.40293,  6.28062
PCBTF,  0.00598,  0.00226,  0.00459,  0.00536,  0.00598,  0.00711,  0.00525,  0.00106,  0.20195,  0.17748
N-Butane,  0.06872,  0.01424,  0.04522,  0.06566,  0.06886,  0.16773,  0.06596,  0.03613,  0.54766,  0.52570
Isobutane,  0.05090,  0.00000,  0.01101,  0.05088,  0.05947,  0.15421,  0.05120,  0.04194,  0.81907,  0.82390
N-Pentane,  0.00821,  0.00000,  0.00822,  0.01381,  0.05134,  0.06275,  0.02473,  0.02236,  0.90422,  2.72412
Isopentane,  0.13891,  0.07306,  0.09387,  0.13872,  0.15304,  0.17821,  0.12906,  0.03298,  0.25556,  0.23743
2-Methyl pentane,  0.19701,  0.07738,  0.12419,  0.18593,  0.19656,  0.19701,  0.16317,  0.04378,  0.26830,  0.22221
